id,name,description,projectId,createdAt,updatedAt
fadd6de6-2330-4a4d-9f8e-c96c942a61b2,Authentication Module,"User login, registration, password reset",b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
dfd8501d-b1a7-4f99-8bf0-2e013664e674,Payment Processing,"Payment gateway integration, transactions",b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
c155f3af-a272-4d04-9515-d42acbba9e6b,Dashboard & Analytics,User dashboard with charts and reports,b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
82c4ca61-465a-436a-b1f2-c208ae0bddff,Authentication,User login and security,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
c2cd82ad-32d7-4c19-b1f7-8c279a2299d2,Core Functionality,Main business logic,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
71a9296f-ce07-4346-aa4b-5d27059d506d,User Interface,Frontend and UX,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
d9322172-fbc0-4410-ba10-53909836c6c1,Authentication,User login and security,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
36c30248-2d36-4c0e-bda1-fd6a25e6cacd,Core Functionality,Main business logic,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
819fc712-a063-4f68-8106-f391549b9344,User Interface,Frontend and UX,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
3b381d28-5c5c-4fbd-8222-95d17eea9075,Authentication,User login and security,3e7d362d-1b8d-4ba8-b796-1364f5efcb74,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
a5a9a6c6-275a-4f43-8330-c00f6d7cfc79,Core Functionality,Main business logic,3e7d362d-1b8d-4ba8-b796-1364f5efcb74,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
34db95be-1093-4e4f-85b0-4289ba33cdcc,User Interface,Frontend and UX,3e7d362d-1b8d-4ba8-b796-1364f5efcb74,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
217c278d-f9a4-4f5f-822b-1a3bbd395c0b,Authentication,User login and security,6632d5ec-5664-451f-aa29-6e039d52a37f,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
3ca5068f-a001-473a-976c-977f6703eecc,Core Functionality,Main business logic,6632d5ec-5664-451f-aa29-6e039d52a37f,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
12067941-0c3e-46dc-a387-4b3c9bdb8740,User Interface,Frontend and UX,6632d5ec-5664-451f-aa29-6e039d52a37f,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
e518f044-9382-4669-8754-96bb189074f3,Authentication,User login and security,3a85068e-c6ec-4701-861f-218073b2e09c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
cb812e7f-8d6d-4588-b8c0-ade3c4543bf3,Core Functionality,Main business logic,3a85068e-c6ec-4701-861f-218073b2e09c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
728d931f-311f-4f1c-ba1e-0840cad21eb3,User Interface,Frontend and UX,3a85068e-c6ec-4701-861f-218073b2e09c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
7c4bd98a-f72b-4725-966d-2871934e5c61,Authentication,User login and security,9a4dee04-d3b9-4044-9085-da2ee65f4302,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
99c2768a-2808-4c9a-93e4-e66fb648a20f,Core Functionality,Main business logic,9a4dee04-d3b9-4044-9085-da2ee65f4302,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
b4eb0ec6-48b5-4283-b839-63e7839499bd,User Interface,Frontend and UX,9a4dee04-d3b9-4044-9085-da2ee65f4302,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
838a13dd-074c-4a0d-9b3d-33919174d3b6,Authentication,User login and security,9f57392c-e3fa-4ccc-b460-2818b7e1a0a4,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
09811ff1-fa5b-4da4-8432-fddee3c74b35,Core Functionality,Main business logic,9f57392c-e3fa-4ccc-b460-2818b7e1a0a4,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
d27d6623-f009-4123-84ab-e040f46c2dd2,User Interface,Frontend and UX,9f57392c-e3fa-4ccc-b460-2818b7e1a0a4,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
3ab94c39-c35b-4428-b3e7-238e89662c02,Backend Services,,de7bfac9-f5db-42b6-98dc-f89dfeef98ee,Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time),Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time)
e0832caa-b23b-4d08-8fc7-792cac31ac68,User Interface,,de7bfac9-f5db-42b6-98dc-f89dfeef98ee,Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time),Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time)
a3d5a100-5417-48f2-b6d1-698e134bde6a,Infrastructure,,de7bfac9-f5db-42b6-98dc-f89dfeef98ee,Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time),Tue Dec 09 2025 02:02:00 GMT+0545 (Nepal Time)